😀 | grinning_face                      | grinning
👩‍🦳 | woman_white_hair                   | white_haired_woman
👩‍🦲 | woman_bald                         | bald_woman
👱‍♀️ | woman_blond_hair                   | blond_haired_woman
👱‍♂️ | man_blond_hair                     | blond_haired_man
🧓 | older_person                       | older_adult
👴 | old_man                            | older_man
👵 | old_woman                          | older_woman
🙍 | person_frowning                    | frowning_person
🙍‍♂️ | man_frowning                       | frowning_man
🙍‍♀️ | woman_frowning                     | frowning_woman
🙎 | person_pouting                     | pouting_face
🙎‍♂️ | man_pouting                        | pouting_man
🙎‍♀️ | woman_pouting                      | pouting_woman
🙅 | person_gesturing_no                | no_good
🙅‍♂️ | man_gesturing_no                   | ng_man
🙅‍♀️ | woman_gesturing_no                 | ng_woman
🙆 | person_gesturing_ok                | ok_person
🙆‍♂️ | man_gesturing_ok                   | ok_man
🙆‍♀️ | woman_gesturing_ok                 | ok_woman
💁 | person_tipping_hand                | tipping_hand_person
💁‍♂️ | man_tipping_hand                   | sassy_man
💁‍♀️ | woman_tipping_hand                 | sassy_woman
🙋 | person_raising_hand                | raising_hand
🙋‍♂️ | man_raising_hand                   | raising_hand_man
🙋‍♀️ | woman_raising_hand                 | raising_hand_woman
🙇 | person_bowing                      | bow
🙇‍♂️ | man_bowing                         | bowing_man
🙇‍♀️ | woman_bowing                       | bowing_woman
🤦 | person_facepalming                 | facepalm
🤷 | person_shrugging                   | shrug
👮 | police_officer                     | cop
👮‍♂️ | man_police_officer                 | policeman
👮‍♀️ | woman_police_officer               | policewoman
🕵️‍♂️ | man_detective                      | male_detective
🕵️‍♀️ | woman_detective                    | female_detective
💂‍♂️ | man_guard                          | guardsman
💂‍♀️ | woman_guard                        | guardswoman
👷‍♂️ | man_construction_worker            | construction_worker_man
👷‍♀️ | woman_construction_worker          | construction_worker_woman
👳 | person_wearing_turban              | person_with_turban
👳‍♂️ | man_wearing_turban                 | man_with_turban
👳‍♀️ | woman_wearing_turban               | woman_with_turban
👲 | person_with_skullcap               | man_with_gua_pi_mao
👼 | baby_angel                         | angel
🎅 | santa_claus                        | santa
🦸‍♂️ | man_superhero                      | superhero_man
🦸‍♀️ | woman_superhero                    | superhero_woman
🦹‍♂️ | man_supervillain                   | supervillain_man
🦹‍♀️ | woman_supervillain                 | supervillain_woman
🧙‍♂️ | man_mage                           | mage_man
🧙‍♀️ | woman_mage                         | mage_woman
🧚‍♂️ | man_fairy                          | fairy_man
🧚‍♀️ | woman_fairy                        | fairy_woman
🧛‍♂️ | man_vampire                        | vampire_man
🧛‍♀️ | woman_vampire                      | vampire_woman
🧝‍♂️ | man_elf                            | elf_man
🧝‍♀️ | woman_elf                          | elf_woman
🧞‍♂️ | man_genie                          | genie_man
🧞‍♀️ | woman_genie                        | genie_woman
🧟‍♂️ | man_zombie                         | zombie_man
🧟‍♀️ | woman_zombie                       | zombie_woman
💆 | person_getting_massage             | massage
💆‍♂️ | man_getting_massage                | massage_man
💆‍♀️ | woman_getting_massage              | massage_woman
💇 | person_getting_haircut             | haircut
💇‍♂️ | man_getting_haircut                | haircut_man
💇‍♀️ | woman_getting_haircut              | haircut_woman
🚶 | person_walking                     | walking
🚶‍♂️ | man_walking                        | walking_man
🚶‍♀️ | woman_walking                      | walking_woman
🧍 | person_standing                    | standing_person
🧍‍♂️ | man_standing                       | standing_man
🧍‍♀️ | woman_standing                     | standing_woman
🧎 | person_kneeling                    | kneeling_person
🧎‍♂️ | man_kneeling                       | kneeling_man
🧎‍♀️ | woman_kneeling                     | kneeling_woman
🧑‍🦯 | person_with_white_cane             | person_with_probing_cane
👨‍🦯 | man_with_white_cane                | man_with_probing_cane
👩‍🦯 | woman_with_white_cane              | woman_with_probing_cane
🏃 | person_running                     | running
🏃‍♂️ | man_running                        | running_man
🏃‍♀️ | woman_running                      | running_woman
🕴️ | person_in_suit_levitating          | business_suit_levitating
👯 | people_with_bunny_ears             | dancers
👯‍♂️ | men_with_bunny_ears                | dancing_men
👯‍♀️ | women_with_bunny_ears              | dancing_women
🧖 | person_in_steamy_room              | sauna_person
🧖‍♂️ | man_in_steamy_room                 | sauna_man
🧖‍♀️ | woman_in_steamy_room               | sauna_woman
🧗 | person_climbing                    | climbing
🧗‍♂️ | man_climbing                       | climbing_man
🧗‍♀️ | woman_climbing                     | climbing_woman
🏌️ | person_golfing                     | golfing
🏌️‍♂️ | man_golfing                        | golfing_man
🏌️‍♀️ | woman_golfing                      | golfing_woman
🏄 | person_surfing                     | surfer
🏄‍♂️ | man_surfing                        | surfing_man
🏄‍♀️ | woman_surfing                      | surfing_woman
🚣 | person_rowing_boat                 | rowboat
🚣‍♂️ | man_rowing_boat                    | rowing_man
🚣‍♀️ | woman_rowing_boat                  | rowing_woman
🏊 | person_swimming                    | swimmer
🏊‍♂️ | man_swimming                       | swimming_man
🏊‍♀️ | woman_swimming                     | swimming_woman
⛹️ | person_bouncing_ball               | bouncing_ball_person
⛹️‍♂️ | man_bouncing_ball                  | basketball_man
⛹️‍♀️ | woman_bouncing_ball                | bouncing_ball_woman
🏋️ | person_lifting_weights             | weight_lifting
🏋️‍♂️ | man_lifting_weights                | weight_lifting_man
🏋️‍♀️ | woman_lifting_weights              | weight_lifting_woman
🚴 | person_biking                      | bicyclist
🚴‍♂️ | man_biking                         | biking_man
🚴‍♀️ | woman_biking                       | biking_woman
🚵 | person_mountain_biking             | mountain_bicyclist
🚵‍♂️ | man_mountain_biking                | mountain_biking_man
🚵‍♀️ | woman_mountain_biking              | mountain_biking_woman
🤸 | person_cartwheeling                | cartwheeling
🤼 | people_wrestling                   | wrestling
🤽 | person_playing_water_polo          | water_polo
🤾 | person_playing_handball            | handball_person
🤹 | person_juggling                    | juggling_person
🧘 | person_in_lotus_position           | lotus_position
🧘‍♂️ | man_in_lotus_position              | lotus_position_man
🧘‍♀️ | woman_in_lotus_position            | lotus_position_woman
🛀 | person_taking_bath                 | bath
🛌 | person_in_bed                      | sleeping_bed
👭 | women_holding_hands                | two_women_holding_hands
👫 | woman_and_man_holding_hands        | couple
👬 | men_holding_hands                  | two_men_holding_hands
💏 | kiss                               | couplekiss
👩‍❤️‍💋‍👨 | kiss_woman_man                     | couplekiss_man_woman
👨‍❤️‍💋‍👨 | kiss_man_man                       | couplekiss_man_man
👩‍❤️‍💋‍👩 | kiss_woman_woman                   | couplekiss_woman_woman
🐶 | dog_face                           | dog
🐕 | dog                                | dog2
🦊 | fox                                | fox_face
🐱 | cat_face                           | cat
🐈 | cat                                | cat2
🐯 | tiger_face                         | tiger
🐅 | tiger                              | tiger2
🐴 | horse_face                         | horse
🐎 | horse                              | racehorse
🐮 | cow_face                           | cow
🐄 | cow                                | cow2
🐷 | pig_face                           | pig
🐖 | pig                                | pig2
🐑 | ewe                                | sheep
🐪 | camel                              | dromedary_camel
🐫 | two_hump_camel                     | camel
🐭 | mouse_face                         | mouse
🐁 | mouse                              | mouse2
🐰 | rabbit_face                        | rabbit
🐇 | rabbit                             | rabbit2
🐼 | panda                              | panda_face
🐾 | paw_prints                         | feet
🐥 | front_facing_baby_chick            | hatched_chick
🦖 | t_rex                              | t-rex
🐳 | spouting_whale                     | whale
🐋 | whale                              | whale2
🐬 | dolphin                            | flipper
🐚 | spiral_shell                       | shell
🌾 | sheaf_of_rice                      | ear_of_rice
🍃 | leaf_fluttering_in_wind            | leaves
🍊 | tangerine                          | orange
🍎 | red_apple                          | apple
🌽 | ear_of_corn                        | corn
🧀 | cheese_wedge                       | cheese
🍟 | french_fries                       | fries
🌭 | hot_dog                            | hotdog
🍳 | cooking                            | fried_egg
🍲 | pot_of_food                        | stew
🍱 | bento_box                          | bento
🍚 | cooked_rice                        | rice
🍛 | curry_rice                         | curry
🍜 | steaming_bowl                      | ramen
🍠 | roasted_sweet_potato               | sweet_potato
🍥 | fish_cake_with_swirl               | fish_cake
🍦 | soft_ice_cream                     | icecream
🎂 | birthday_cake                      | birthday
🍰 | shortcake                          | cake
🥛 | glass_of_milk                      | milk_glass
☕ | hot_beverage                       | coffee
🍵 | teacup_without_handle              | tea
🍾 | bottle_with_popping_cork           | champagne
🍸 | cocktail_glass                     | cocktail
🍺 | beer_mug                           | beer
🍻 | clinking_beer_mugs                 | beers
🧊 | ice                                | ice_cube
🍽️ | fork_and_knife_with_plate          | plate_with_cutlery
🔪 | kitchen_knife                      | hocho
🌍 | globe_showing_europe_africa        | earth_africa
🌎 | globe_showing_americas             | earth_americas
🌏 | globe_showing_asia_australia       | earth_asia
🗾 | map_of_japan                       | japan
🏔️ | snow_capped_mountain               | mountain_snow
🏖️ | beach_with_umbrella                | beach_umbrella
🧱 | brick                              | bricks
🏢 | office_building                    | office
🏣 | japanese_post_office               | post_office
🏤 | post_office                        | european_post_office
🏰 | castle                             | european_castle
🌆 | cityscape_at_dusk                  | city_sunset
🌇 | sunset                             | city_sunrise
♨️ | hot_springs                        | hotsprings
💈 | barber_pole                        | barber
🚂 | locomotive                         | steam_locomotive
🚄 | high_speed_train                   | bullettrain_side
🚅 | bullet_train                       | bullettrain_front
🚆 | train                              | train2
🚋 | tram_car                           | train
🚗 | automobile                         | red_car
🚙 | sport_utility_vehicle              | blue_car
🚚 | delivery_truck                     | truck
🚲 | bicycle                            | bike
🚏 | bus_stop                           | busstop
⛽ | fuel_pump                          | fuelpump
🚨 | police_car_light                   | rotating_light
🚥 | horizontal_traffic_light           | traffic_light
⛵ | sailboat                           | boat
🛫 | airplane_departure                 | flight_departure
🛬 | airplane_arrival                   | flight_arrival
🛰️ | satellite                          | artificial_satellite
⌛ | hourglass_done                     | hourglass
⏳ | hourglass_not_done                 | hourglass_flowing_sand
🕛 | twelve_o_clock                     | clock12
🕧 | twelve_thirty                      | clock1230
🕐 | one_o_clock                        | clock1
🕜 | one_thirty                         | clock130
🕑 | two_o_clock                        | clock2
🕝 | two_thirty                         | clock230
🕒 | three_o_clock                      | clock3
🕞 | three_thirty                       | clock330
🕓 | four_o_clock                       | clock4
🕟 | four_thirty                        | clock430
🕔 | five_o_clock                       | clock5
🕠 | five_thirty                        | clock530
🕕 | six_o_clock                        | clock6
🕡 | six_thirty                         | clock630
🕖 | seven_o_clock                      | clock7
🕢 | seven_thirty                       | clock730
🕗 | eight_o_clock                      | clock8
🕣 | eight_thirty                       | clock830
🕘 | nine_o_clock                       | clock9
🕤 | nine_thirty                        | clock930
🕙 | ten_o_clock                        | clock10
🕥 | ten_thirty                         | clock1030
🕚 | eleven_o_clock                     | clock11
🕦 | eleven_thirty                      | clock1130
🌔 | waxing_gibbous_moon                | moon
🌚 | new_moon_face                      | new_moon_with_face
🌛 | first_quarter_moon_face            | first_quarter_moon_with_face
🌜 | last_quarter_moon_face             | last_quarter_moon_with_face
☀️ | sun                                | sunny
🌝 | full_moon_face                     | full_moon_with_face
🌟 | glowing_star                       | star2
🌠 | shooting_star                      | stars
⛅ | sun_behind_cloud                   | partly_sunny
☂️ | umbrella                           | open_umbrella
☔ | umbrella_with_rain_drops           | umbrella
⛱️ | umbrella_on_ground                 | parasol_on_ground
⚡ | high_voltage                       | zap
☃️ | snowman                            | snowman_with_snow
⛄ | snowman_without_snow               | snowman
🌊 | water_wave                         | ocean
🎉 | party_popper                       | tada
🎍 | pine_decoration                    | bamboo
🎎 | japanese_dolls                     | dolls
🎏 | carp_streamer                      | flags
🎑 | moon_viewing_ceremony              | rice_scene
🎁 | wrapped_gift                       | gift
🎟️ | admission_tickets                  | tickets
🎖️ | military_medal                     | medal_military
🏅 | sports_medal                       | medal_sports
⚽ | soccer_ball                        | soccer
🏈 | american_football                  | football
⛳ | flag_in_hole                       | golf
🎣 | fishing_pole                       | fishing_pole_and_fish
🎽 | running_shirt                      | running_shirt_with_sash
🎿 | skis                               | ski
🎯 | bullseye                           | dart
🔫 | water_pistol                       | gun
🎱 | pool_8_ball                        | 8ball
🧩 | puzzle_piece                       | jigsaw
♠️ | spade_suit                         | spades
♥️ | heart_suit                         | hearts
♦️ | diamond_suit                       | diamonds
♣️ | club_suit                          | clubs
🃏 | joker                              | black_joker
🀄 | mahjong_red_dragon                 | mahjong
🎨 | artist_palette                     | art
👓 | glasses                            | eyeglasses
🕶️ | sunglasses                         | dark_sunglasses
👕 | t_shirt                            | shirt
🩲 | briefs                             | swim_brief
👚 | woman_s_clothes                    | womans_clothes
👝 | clutch_bag                         | pouch
🛍️ | shopping_bags                      | shopping
🎒 | backpack                           | school_satchel
👞 | man_s_shoe                         | mans_shoe
👟 | running_shoe                       | athletic_shoe
👠 | high_heeled_shoe                   | high_heel
👡 | woman_s_sandal                     | sandal
👢 | woman_s_boot                       | boot
👒 | woman_s_hat                        | womans_hat
🎩 | top_hat                            | tophat
🎓 | graduation_cap                     | mortar_board
⛑️ | rescue_worker_s_helmet             | rescue_worker_helmet
💎 | gem_stone                          | gem
🔇 | muted_speaker                      | mute
🔈 | speaker_low_volume                 | speaker
🔉 | speaker_medium_volume              | sound
🔊 | speaker_high_volume                | loud_sound
📣 | megaphone                          | mega
🔕 | bell_with_slash                    | no_bell
🎶 | musical_notes                      | notes
🎧 | headphone                          | headphones
📱 | mobile_phone                       | iphone
📲 | mobile_phone_with_arrow            | calling
☎️ | telephone                          | phone
📠 | fax_machine                        | fax
💻 | laptop                             | computer
💽 | computer_disk                      | minidisc
💿 | optical_disk                       | cd
🎞️ | film_frames                        | film_strip
🎬 | clapper_board                      | clapper
📺 | television                         | tv
📸 | camera_with_flash                  | camera_flash
📼 | videocassette                      | vhs
🔍 | magnifying_glass_tilted_left       | mag
🔎 | magnifying_glass_tilted_right      | mag_right
💡 | light_bulb                         | bulb
🏮 | red_paper_lantern                  | lantern
📖 | open_book                          | book
🗞️ | rolled_up_newspaper                | newspaper_roll
💰 | money_bag                          | moneybag
💴 | yen_banknote                       | yen
💵 | dollar_banknote                    | dollar
💶 | euro_banknote                      | euro
💷 | pound_banknote                     | pound
💹 | chart_increasing_with_yen          | chart
📧 | e_mail                             | e-mail
📫 | closed_mailbox_with_raised_flag    | mailbox
📪 | closed_mailbox_with_lowered_flag   | mailbox_closed
📬 | open_mailbox_with_raised_flag      | mailbox_with_mail
📭 | open_mailbox_with_lowered_flag     | mailbox_with_no_mail
🗳️ | ballot_box_with_ballot             | ballot_box
✏️ | pencil                             | pencil2
📅 | calendar                           | date
📆 | tear_off_calendar                  | calendar
📈 | chart_increasing                   | chart_with_upwards_trend
📉 | chart_decreasing                   | chart_with_downwards_trend
🖇️ | linked_paperclips                  | paperclips
🔒 | locked                             | lock
🔓 | unlocked                           | unlock
🔏 | locked_with_pen                    | lock_with_ink_pen
🔐 | locked_with_key                    | closed_lock_with_key
🦯 | white_cane                         | probing_cane
📡 | satellite_antenna                  | satellite
🚬 | cigarette                          | smoking
🗿 | moai                               | moyai
🏧 | atm_sign                           | atm
🚮 | litter_in_bin_sign                 | put_litter_in_its_place
♿ | wheelchair_symbol                  | wheelchair
🚹 | men_s_room                         | mens
🚺 | women_s_room                       | womens
🚾 | water_closet                       | wc
🚫 | prohibited                         | no_entry_sign
🚯 | no_littering                       | do_not_litter
🚱 | non_potable_water                  | non-potable_water
🔞 | no_one_under_eighteen              | underage
⬆️ | up_arrow                           | arrow_up
↗️ | up_right_arrow                     | arrow_upper_right
➡️ | right_arrow                        | arrow_right
↘️ | down_right_arrow                   | arrow_lower_right
⬇️ | down_arrow                         | arrow_down
↙️ | down_left_arrow                    | arrow_lower_left
⬅️ | left_arrow                         | arrow_left
↖️ | up_left_arrow                      | arrow_upper_left
↕️ | up_down_arrow                      | arrow_up_down
↩️ | right_arrow_curving_left           | leftwards_arrow_with_hook
↪️ | left_arrow_curving_right           | arrow_right_hook
⤴️ | right_arrow_curving_up             | arrow_heading_up
⤵️ | right_arrow_curving_down           | arrow_heading_down
🔃 | clockwise_vertical_arrows          | arrows_clockwise
🔄 | counterclockwise_arrows_button     | arrows_counterclockwise
🔙 | back_arrow                         | back
🔚 | end_arrow                          | end
🔛 | on_arrow                           | on
🔜 | soon_arrow                         | soon
🔝 | top_arrow                          | top
🔯 | dotted_six_pointed_star            | six_pointed_star
♏ | scorpio                            | scorpius
🔀 | shuffle_tracks_button              | twisted_rightwards_arrows
🔁 | repeat_button                      | repeat
🔂 | repeat_single_button               | repeat_one
▶️ | play_button                        | arrow_forward
⏩ | fast_forward_button                | fast_forward
◀️ | reverse_button                     | arrow_backward
⏪ | fast_reverse_button                | rewind
⏮️ | last_track_button                  | previous_track_button
🔼 | upwards_button                     | arrow_up_small
⏫ | fast_up_button                     | arrow_double_up
🔽 | downwards_button                   | arrow_down_small
⏬ | fast_down_button                   | arrow_double_down
🔅 | dim_button                         | low_brightness
🔆 | bright_button                      | high_brightness
📶 | antenna_bars                       | signal_strength
✖️ | multiply                           | heavy_multiplication_x
➕ | plus                               | heavy_plus_sign
➖ | minus                              | heavy_minus_sign
➗ | divide                             | heavy_division_sign
‼️ | double_exclamation_mark            | bangbang
⁉️ | exclamation_question_mark          | interrobang
❓ | red_question_mark                  | question
❔ | white_question_mark                | grey_question
❕ | white_exclamation_mark             | grey_exclamation
❗ | red_exclamation_mark               | exclamation
♻️ | recycling_symbol                   | recycle
🔱 | trident_emblem                     | trident
🔰 | japanese_symbol_for_beginner       | beginner
⭕ | hollow_red_circle                  | o
✅ | check_mark_button                  | white_check_mark
☑️ | check_box_with_check               | ballot_box_with_check
✔️ | check_mark                         | heavy_check_mark
❌  | cross_mark                         | x
❎ | cross_mark_button                  | negative_squared_cross_mark
➿ | double_curly_loop                  | loop
✴️ | eight_pointed_star                 | eight_pointed_black_star
™️ | trade_mark                         | tm
#️⃣ | #                                  | hash
*️⃣ | *                                  | asterisk
0️⃣ | 0                                  | zero
1️⃣ | 1                                  | one
2️⃣ | 2                                  | two
3️⃣ | 3                                  | three
4️⃣ | 4                                  | four
5️⃣ | 5                                  | five
6️⃣ | 6                                  | six
7️⃣ | 7                                  | seven
8️⃣ | 8                                  | eight
9️⃣ | 9                                  | nine
🔟 | 10                                 | keycap_ten
🔠 | input_latin_uppercase              | capital_abcd
🔡 | input_latin_lowercase              | abcd
🔢 | input_numbers                      | 1234
🔣 | input_symbols                      | symbols
🔤 | input_latin_letters                | abc
🅰️ | a_button_blood_type                | a
🆎 | ab_button_blood_type               | ab
🅱️ | b_button_blood_type                | b
🆑 | cl_button                          | cl
🆒 | cool_button                        | cool
🆓 | free_button                        | free
ℹ️ | information                        | information_source
🆔 | id_button                          | id
Ⓜ️ | circled_m                          | m
🆕 | new_button                         | new
🆖 | ng_button                          | ng
🅾️ | o_button_blood_type                | o2
🆗 | ok_button                          | ok
🅿️ | p_button                           | parking
🆘 | sos_button                         | sos
🆙 | up_button                          | up
🆚 | vs_button                          | vs
🈁 | japanese_here_button               | koko
🈂️ | japanese_service_charge_button     | sa
🈷️ | japanese_monthly_amount_button     | u6708
🈶 | japanese_not_free_of_charge_button | u6709
🈯 | japanese_reserved_button           | u6307
🉐 | japanese_bargain_button            | ideograph_advantage
🈹 | japanese_discount_button           | u5272
🈚 | japanese_free_of_charge_button     | u7121
🈲 | japanese_prohibited_button         | u7981
🉑 | japanese_acceptable_button         | accept
🈸 | japanese_application_button        | u7533
🈴 | japanese_passing_grade_button      | u5408
🈳 | japanese_vacancy_button            | u7a7a
㊗️ | japanese_congratulations_button    | congratulations
㊙️ | japanese_secret_button             | secret
🈺 | japanese_open_for_business_button  | u55b6
🈵 | japanese_no_vacancy_button         | u6e80
🔵 | blue_circle                        | large_blue_circle
🔺 | red_triangle_pointed_up            | small_red_triangle
🔻 | red_triangle_pointed_down          | small_red_triangle_down
💠 | diamond_with_a_dot                 | diamond_shape_with_a_dot_inside
🏁 | chequered_flag                     | checkered_flag
🚩 | triangular_flag                    | triangular_flag_on_post
🇨🇨 | cocos_keeling_islands              | cocos_islands
🇨🇮 | cote_d_ivoire                      | cote_divoire
🇨🇳 | china                              | cn
🇨🇿 | czechia                            | czech_republic
🇩🇪 | germany                            | de
🇪🇸 | spain                              | es
🇪🇺 | european_union                     | eu
🇫🇷 | france                             | fr
🇬🇧 | united_kingdom                     | uk
🇭🇰 | hong_kong_sar_china                | hong_kong
🇮🇹 | italy                              | it
🇯🇵 | japan                              | jp
🇰🇷 | south_korea                        | kr
🇲🇰 | north_macedonia                    | macedonia
🇲🇲 | myanmar_burma                      | myanmar
🇲🇴 | macao_sar_china                    | macau
🇷🇺 | russia                             | ru
🇸🇿 | eswatini                           | swaziland
🇹🇷 | turkiye                            | tr
🇺🇸 | united_states                      | us
